State Name/Location,pricing,Emi,Project Name,Location,Config,Possession Status
nagpur_maharashtra,23.76 L - 29.3 L,EMI starts at 18.2 K,Asian Glory Galaxy Town,"New Khapri, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,16.68 L - 21.38 L,EMI starts at 13.3 K,Green Emerald - III,"Gotal Pajri, Nagpur",2 BHK Apartment,Ready to Move
nagpur_maharashtra,18.75 L - 20.88 L,EMI starts at 13 K,Neelgaggan Neel Vihar D,"New Khapri, Nagpur",2 BHK Apartment,Ready to Move
thrissur_kerala,82.25 L - 2.21 Cr,EMI starts at 1.29 Lacs,Asset Anchorage,"Anchery, Thrissur","3, 4 BHK Apartments",Ready to Move
thrissur_kerala,78 L,EMI starts at 45.6 K,Mulberry Green Aura,"Nellikkadu, Thrissur",3 BHK Villa,Ready to Move
thrissur_kerala,74.97 L - 81.56 L,EMI starts at 47.6 K,Kalyan Sunfields,"Kuttoor, Thrissur",3 BHK Villa,Ready to Move
thrissur_kerala,60 L,EMI starts at 37.4 K,Mulberry Towers,"West Hill Residence, Thrissur",3 BHK Apartment,Ready to Move
thrissur_kerala,92.55 L - 1.31 Cr,EMI starts at 76.3 K,Jos Grand Aristo,"Nellikunnu, Thrissur",3 BHK Apartment,"Feb, 2020"
thrissur_kerala,41.54 L - 68.9 L,EMI starts at 42.9 K,Chiramels Sundale Homes,"Nellikunnu, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,76.46 L - 85 L,EMI starts at 49.6 K,Mulberry PamVille,"West Hill Residence, Thrissur",3 BHK Villa,"Dec, 2019"
thrissur_kerala,29.83 L - 44.85 L,EMI starts at 27.9 K,Gokulam Akila And Akula,"Choolissery, Thrissur","2, 3 BHK Apartments",Ready to Move
thrissur_kerala,1.07 Cr,EMI starts at 62.6 K,Mulberry Avenue Blue,"Kuriachira, Thrissur",4 BHK Apartment,Ready to Move
thrissur_kerala,64.58 L - 1.67 Cr,EMI starts at 97.4 K,Asset Precious,"Paravattani, Thrissur","2, 3 BHK Apartments","Feb, 2020"
thrissur_kerala,28.28 L - 50.03 L,EMI starts at 31.1 K,Top Tulip,"Punkunnam, Thrissur","1, 2, 3 BHK Apartments",Ready to Move
thrissur_kerala,53.5 L - 1.37 Cr,EMI starts at 79.8 K,Mulberry Mystic Rose,"Kizhakkumpattukara, Thrissur","2, 3, 4 BHK Apartments",Ready to Move
thrissur_kerala,23.24 L - 36.04 L,EMI starts at 22.4 K,Inland Mist,"Peringavu, Thrissur","2, 3 BHK Apartments",Ready to Move
